url,label
"http://secure-login.bank.com/account-verification",1
"https://www.google.com",0
"http://get-rich-quick.com",1
"https://github.com",0
"http://paypal.secure-update.com",1
"https://facebook.com",0
"http://bit.ly/free-gift-card",1
"https://amazon.com",0
"http://ebay-login-security.com",1
"https://linkedin.com",0
"http://apple-support-login.com",1
"https://wikipedia.org",0
"http://tinyurl.com/win-money-now",1
"https://openai.com",0
"http://verify-instagram.com",1
"https://microsoft.com",0
"http://you-won-a-prize.com",1
"https://twitter.com",0
